0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:43 +0530] "POST /CollaborationBackEndJava/authenticate HTTP/1.1" 200 443
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:43 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490423173990 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:51 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490423173991 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:54 +0530] "GET /CollaborationFrontEndJava/v_blog/frmBlog.html HTTP/1.1" 200 1869
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:54 +0530] "GET /CollaborationFrontEndJava/resources/js/bootstrap.min.js?_=1490423173992 HTTP/1.1" 200 37045
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:54 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:10:54 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 204 -
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:13:22 +0530] "POST /CollaborationBackEndJava/adduserblog/ HTTP/1.1" 500 16611
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:14:20 +0530] "POST /CollaborationBackEndJava/adduserblog/ HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:14:20 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 313
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:14:27 +0530] "POST /CollaborationBackEndJava/adduserblog/ HTTP/1.1" 200 311
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:14:27 +0530] "GET /CollaborationBackEndJava/alluserblog HTTP/1.1" 200 613
0:0:0:0:0:0:0:1 - - [25/Mar/2017:12:14:28 +0530] "POST /CollaborationBackEndJava/adduserblog/ HTTP/1.1" 200 311
